n_estimators,learning_rate,accuracy
50,0.01,0.9532163742690059
50,0.1,0.9532163742690059
50,0.2,0.9532163742690059
100,0.01,0.935672514619883
100,0.1,0.9590643274853801
100,0.2,0.9532163742690059
200,0.01,0.9415204678362573
200,0.1,0.9649122807017544
200,0.2,0.9590643274853801
